[12-May-2017 08:14:30 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:30 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:14:34 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:34 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:14:38 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:38 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:14:42 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:42 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:14:46 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:46 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:14:50 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:50 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:14:54 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:54 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:14:58 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:14:58 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:15:02 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:15:02 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:15:06 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:15:06 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:15:10 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:15:10 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:15:14 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
[12-May-2017 08:15:14 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 441
[12-May-2017 08:15:18 UTC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 437
